number,sci_name,sex,predicted_attractiveness_sex_model,sd_sex_model
1,Abeillia abeillei,male,6.6579,0.0628
2,Abeillia abeillei,unknown,6.9854,0.0874
3,Abroscopus albogularis,unknown,6.6335,0.0832
4,Abroscopus schisticeps,unknown,7.0201,0.0877
5,Abroscopus superciliaris,unknown,6.0374,0.0502
6,Aburria aburri,unknown,5.5705,0.0632
7,Acanthagenys rufogularis,unknown,5.334,0.0579
8,Acanthidops bairdi,female,5.4055,0.0011
9,Acanthidops bairdi,unknown,5.4024,0.0519
10,Acanthis cabaret,female,5.935,0.0633
11,Acanthis cabaret,male,6.0626,0.0669
12,Acanthis cabaret,unknown,6.6014,0.0814
13,Acanthis flammea,female,6.1863,0.099
14,Acanthis flammea,male,5.602,NA
15,Acanthis flammea,unknown,6.4597,0.0703
16,Acanthis hornemanni,female,6.858,NA
17,Acanthis hornemanni,male,6.1732,0.0796
18,Acanthis hornemanni,unknown,6.9447,0.0696
19,Acanthisitta chloris,unknown,6.9331,0.0929
20,Acanthiza apicalis,unknown,5.2592,0.0563
21,Acanthiza chrysorrhoa,unknown,5.3852,0.0568
22,Acanthiza cinerea,unknown,4.3673,0.0626
23,Acanthiza ewingii,unknown,5.6632,0.0599
24,Acanthiza inornata,unknown,5.4047,0.0567
25,Acanthiza iredalei,unknown,5.1384,0.0683
26,Acanthiza katherina,unknown,4.7683,0.0495
27,Acanthiza lineata,unknown,5.769,0.0557
28,Acanthiza murina,unknown,4.7966,0.0581
29,Acanthiza nana,unknown,6.098,0.0489
30,Acanthiza pusilla,unknown,5.7709,0.0609
31,Acanthiza reguloides,unknown,5.729,0.0665
32,Acanthiza robustirostris,unknown,5.9287,0.0597
33,Acanthiza uropygialis,unknown,5.237,0.055
34,Acanthorhynchus superciliosus,female,5.4198,0.0601
35,Acanthorhynchus superciliosus,unknown,5.6394,0.0512
36,Acanthorhynchus tenuirostris,male,6.3654,0.0576
37,Acanthorhynchus tenuirostris,unknown,6.2545,0.0484
38,Acanthornis magna,unknown,5.2658,0.0604
39,Accipiter albogularis,unknown,5.8906,0.0722
40,Accipiter badius,female,6.448,NA
41,Accipiter badius,unknown,5.5977,0.0526
42,Accipiter bicolor,male,6.0897,0.0408
43,Accipiter bicolor,unknown,6.9343,0.0921
44,Accipiter brevipes,unknown,6.365,0.0663
45,Accipiter butleri,unknown,5.9905,0.0595
46,Accipiter castanilius,male,6.6701,0.0689
47,Accipiter castanilius,unknown,6.4256,0.0632
48,Accipiter cirrocephalus,female,5.8718,0.0463
49,Accipiter cirrocephalus,male,6.1833,0.0416
50,Accipiter cirrocephalus,unknown,6.6895,0.0621
51,Accipiter collaris,male,6.512,0.1021
52,Accipiter collaris,unknown,6.0724,0.061
53,Accipiter cooperii,female,6.3893,0.0507
54,Accipiter cooperii,unknown,6.2671,0.0503
55,Accipiter erythrauchen,unknown,5.9076,0.0538
56,Accipiter erythropus,unknown,5.0801,0.061
57,Accipiter fasciatus,unknown,6.5181,0.0603
58,Accipiter francesiae,female,6.9295,0.0908
59,Accipiter francesiae,male,6.4445,0.0448
60,Accipiter francesiae,unknown,6.6575,0.0724
61,Accipiter gentilis,unknown,6.8421,0.0713
62,Accipiter griseiceps,unknown,6.3779,0.0753
63,Accipiter gularis,male,6.181,NA
64,Accipiter gularis,unknown,6.2407,0.0652
65,Accipiter gundlachi,male,5.6531,0.0498
66,Accipiter gundlachi,unknown,5.6936,0.0654
67,Accipiter haplochrous,unknown,6.7938,0.0804
68,Accipiter henicogrammus,unknown,5.987,0.0725
69,Accipiter henstii,unknown,5.9715,0.0509
70,Accipiter hiogaster,unknown,6.4247,0.063
71,Accipiter imitator,unknown,6.0464,0.0587
72,Accipiter madagascariensis,unknown,6.3089,0.0692
73,Accipiter melanochlamys,unknown,5.5549,0.0583
74,Accipiter melanoleucus,unknown,6.597,0.0704
75,Accipiter meyerianus,unknown,5.478,0.0528
76,Accipiter minullus,male,6.8779,0.0776
77,Accipiter minullus,unknown,6.6412,0.0968
78,Accipiter nanus,male,5.9807,0.0265
79,Accipiter nanus,unknown,5.5108,0.0634
80,Accipiter nisus,female,6.682,NA
81,Accipiter nisus,male,6.2755,0.0531
82,Accipiter nisus,unknown,6.9077,0.1156
83,Accipiter novaehollandiae,female,5.9071,0.081
84,Accipiter novaehollandiae,unknown,6.7657,0.089
85,Accipiter ovampensis,unknown,6.1312,0.0702
86,Accipiter poliocephalus,unknown,6.3388,0.0724
87,Accipiter poliogaster,female,5.9415,0.0523
88,Accipiter poliogaster,unknown,6.2578,0.0666
89,Accipiter rhodogaster,unknown,5.7937,0.0656
90,Accipiter rufitorques,unknown,6.89,0.0745
91,Accipiter rufiventris,unknown,6.0094,0.0634
92,Accipiter soloensis,female,6.84,NA
93,Accipiter soloensis,male,5.903,0.0639
94,Accipiter soloensis,unknown,6.5512,0.0638
95,Accipiter striatus,unknown,6.5904,0.0736
96,Accipiter superciliosus,unknown,6.6835,0.0882
97,Accipiter tachiro,unknown,6.0913,0.0699
98,Accipiter toussenelii,unknown,6.4448,0.0542
99,Accipiter trinotatus,unknown,6.7346,0.0555
100,Accipiter trivirgatus,unknown,6.1247,0.0504
101,Accipiter virgatus,female,6.9475,0.088
102,Accipiter virgatus,unknown,6.333,0.0638
103,Aceros nipalensis,female,5.9785,0.124
104,Aceros nipalensis,male,7.0519,0.0916
105,Aceros nipalensis,unknown,6.5823,0.0578
106,Achaetops pycnopygius,unknown,5.4618,0.0492
107,Acridotheres albocinctus,unknown,5.5608,0.0533
108,Acridotheres burmannicus,male,6.2941,0.0443
109,Acridotheres burmannicus,unknown,5.614,0.0557
110,Acridotheres cinereus,unknown,5.2616,0.0599
111,Acridotheres cristatellus,unknown,5.8264,0.0607
112,Acridotheres fuscus,unknown,5.1548,0.0535
113,Acridotheres ginginianus,unknown,6.0886,0.0588
114,Acridotheres grandis,unknown,5.8911,0.0602
115,Acridotheres javanicus,unknown,6.0293,0.0652
116,Acridotheres melanopterus,unknown,5.5925,0.0503
117,Acridotheres tristis,unknown,5.9384,0.0486
118,Acrobatornis fonsecai,unknown,4.9775,0.0678
119,Acrocephalus aequinoctialis,male,5.2714,0.0449
120,Acrocephalus aequinoctialis,unknown,4.7143,0.0629
121,Acrocephalus agricola,unknown,5.2607,0.0534
122,Acrocephalus arundinaceus,male,4.6271,0.0511
123,Acrocephalus arundinaceus,unknown,4.9529,0.068
